sym,decision_date,intent,recommendation,risk_reward_ratio,Rank,quant_score,sa_score,ws_score,perf_6m,return_1w,return_2w,return_4w
REGN,2026-04-29,ENTER_NOW,BUY,2.35,1737,3.18,4.0,4.37,0.0872,0.05068739888085326,,
SITE,2026-04-29,AVOID,AVOID,0.7,3247,2.67,,4.25,-0.0152,-0.0030181807594165787,,
SOFI,2026-04-29,ENTER_NOW,BUY,1.12,3077,2.72,4.72,3.29,-0.4417,0.013523969349326741,,
TER,2026-04-29,NEUTRAL,WATCH,1.1,888,3.48,3.75,4.27,0.9737,0.19286430572083377,,
UEC,2026-04-29,AVOID,AVOID,0.6,1664,3.21,2.0,4.55,0.2426,0.1642672910862807,,
RIOT,2026-04-29,AVOID,AVOID,0.1,1798,3.16,4.0,4.55,0.4156,0.5464927088378111,,
CRS,2026-04-29,ENTER_LIMIT,BUY_LIMIT,0.81,1136,3.39,5.0,4.66,0.3044,0.1444844216179791,,
CAH,2026-04-30,ENTER_NOW,BUY,1.63,370,4.69,3.0,4.58,-0.0983,-0.016038243338837684,,
CHKP,2026-04-30,AVOID,AVOID,5.4,3194,2.68,3.33,3.76,-0.4262,-0.005935504872311828,,
FICO,2026-04-30,AVOID,AVOID,0.4,2151,3.04,3.2,4.14,-0.3529,0.14658633986204822,,
FLS,2026-04-30,ENTER_LIMIT,BUY_LIMIT,1.0,2266,3.0,4.0,4.36,0.0273,-0.043582875460864354,,
HUBB,2026-04-30,NEUTRAL,WATCH,0.5,1983,3.1,3.33,3.86,0.0652,-0.04641805557612194,,
IP,2026-04-30,AVOID,AVOID,0.6,3173,2.69,2.33,4.25,-0.1331,0.0501587882874504,,
META,2026-04-30,ENTER_LIMIT,BUY_LIMIT,1.2,887,3.48,4.0,4.65,-0.0194,0.01607774904636158,,
RRR,2026-04-30,ENTER_NOW,BUY,0.82,3899,2.06,4.0,4.43,-0.0579,0.023229277960144585,,
STLA,2026-04-30,AVOID,AVOID,1.3,973,3.45,3.2,3.5,-0.2441,0.036011082974167115,,
TFX,2026-04-30,NEUTRAL,WATCH,0.6,2873,2.79,4.0,3.18,0.2163,0.054283368100730534,,
W,2026-04-30,AVOID,AVOID,0.9,2787,2.82,3.25,4.0,-0.3801,0.013860126322722809,,
WTW,2026-04-30,ENTER_NOW,BUY,2.24,3216,2.68,4.0,4.33,-0.2137,0.03646735742085522,,
BLDR,2026-04-30,AVOID,AVOID,0.5,4189,1.35,3.33,3.95,-0.2926,0.008509063526916182,,
JLL,2026-04-30,ENTER_NOW,BUY,1.75,20,4.61,4.0,4.16,0.1012,0.045509584927636494,,
MTG,2026-04-30,NEUTRAL,WATCH,0.2,3801,2.34,3.0,3.2,-0.0457,-0.02207505799462638,,
PH,2026-04-30,ENTER_NOW,BUY,1.0,1582,3.24,3.0,4.34,0.0413,-0.0048810866405549205,,
ALM,2026-05-01,AVOID,AVOID,0.2,845,3.49,4.5,4.77,1.8114,-0.03718198115578376,,
AMGN,2026-05-01,NEUTRAL,WATCH,2.0,1542,3.25,3.66,3.54,0.0359,0.017547126225631118,,
CLX,2026-05-01,ENTER_LIMIT,BUY_LIMIT,1.86,3972,1.84,3.5,2.89,-0.1416,0.049598583931545676,,
DLB,2026-05-01,AVOID,AVOID,1.2,4049,1.62,4.0,4.25,-0.1069,0.025211592487286803,,
INGM,2026-05-01,AVOID,AVOID,0.3,1487,3.27,4.0,3.73,0.2426,-0.02228609766572779,,
NIO,2026-05-01,ENTER_NOW,BUY,1.3,1755,3.18,3.83,3.96,-0.1472,-0.006791187668494282,,
PIPR,2026-05-01,AVOID,AVOID,0.3,2201,3.03,4.0,4.0,-0.0088,0.006583835767663043,,
RBLX,2026-05-01,ENTER_LIMIT,BUY_LIMIT,1.1,3999,1.77,3.77,4.08,-0.6077,-0.07869861843455468,,
RIVN,2026-05-01,NEUTRAL,WATCH,0.7,2517,2.92,3.45,3.42,-0.0663,-0.06815201395617243,,
RMD,2026-05-01,ENTER_NOW,BUY,1.34,2623,2.88,3.0,3.89,-0.1779,0.026104191100922765,,
RYAN,2026-05-01,AVOID,AVOID,0.6,4281,1.21,,3.89,-0.4607,-1.7057094088422966e-08,,
GTES,2026-05-01,ENTER_LIMIT,BUY_LIMIT,0.5,619,4.14,3.0,4.25,0.1795,0.07988411227598885,,
IMO,2026-05-01,NEUTRAL,PENDING,,1032,3.43,5.0,2.17,0.3589,-0.0005902691201952939,,
ADT,2026-05-04,AVOID,AVOID,0.7,2542,2.91,4.0,3.6,-0.1693,,,
CAR,2026-05-04,AVOID,AVOID,0.3,2617,2.88,2.2,2.5,0.017,,,
CHDN,2026-05-04,ENTER_LIMIT,BUY_LIMIT,1.0,2805,2.82,4.0,4.75,-0.0955,,,
CHRW,2026-05-04,AVOID,AVOID,0.4,735,3.79,3.5,4.04,0.1469,,,
EXPD,2026-05-04,NEUTRAL,WATCH,0.9,1287,3.34,4.0,2.68,0.1401,,,
FDX,2026-05-04,ENTER_LIMIT,BUY_LIMIT,2.9,176,4.86,3.2,4.1,0.4445,,,
GXO,2026-05-04,AVOID,AVOID,0.6,2473,2.93,4.0,4.62,0.0151,,,
NCLH,2026-05-04,AVOID,AVOID,0.6,2935,2.77,3.6,3.91,-0.1044,,,
SNY,2026-05-04,ENTER_NOW,BUY,0.8,1874,3.14,3.8,3.9,-0.1279,,,
UPS,2026-05-04,ENTER_NOW,BUY,1.6,1613,3.23,3.0,3.75,0.0503,,,
BBVA,2026-05-04,ENTER_NOW,BUY,0.96,2817,2.81,3.0,3.33,0.0911,,,
