tp_pct,sl_pct,n,n_tp,n_sl,n_timeout,total_gross_eur,total_net_eur,roi,win_rate
0.05,0.06,18,9,4,5,118.54712214222447,10.547122142224453,0.0007812683068314409,0.5
0.05,0.065,18,9,4,5,103.54712214222447,-4.4528778577755475,-0.00032984280427967016,0.5
0.05,0.07,18,9,3,6,110.92487699313384,2.9248769931338074,0.0002166575550469487,0.5
0.05,0.075,18,9,2,7,129.42867248613624,21.428672486136236,0.0015873090730471285,0.5
0.05,0.08,18,9,2,7,121.92867248613622,13.928672486136236,0.001031753517491573,0.5
0.05,0.085,18,10,1,7,215.67867248613624,107.67867248613622,0.007976197961936016,0.5555555555555556
0.05,0.09,18,10,1,7,211.92867248613624,103.92867248613622,0.007698420184158238,0.5555555555555556
0.05,0.095,18,11,0,7,316.9286724861362,208.92867248613618,0.015476197961936014,0.6111111111111112
0.05,0.1,18,11,0,7,316.9286724861362,208.92867248613618,0.015476197961936014,0.6111111111111112
0.05,0.105,18,11,0,7,316.9286724861362,208.92867248613618,0.015476197961936014,0.6111111111111112
0.05,0.11,18,11,0,7,316.9286724861362,208.92867248613618,0.015476197961936014,0.6111111111111112
0.05,0.115,18,11,0,7,316.9286724861362,208.92867248613618,0.015476197961936014,0.6111111111111112
0.05,0.12,18,11,0,7,316.9286724861362,208.92867248613618,0.015476197961936014,0.6111111111111112
0.05,0.125,18,11,0,7,316.9286724861362,208.92867248613618,0.015476197961936014,0.6111111111111112
0.05,0.13,18,11,0,7,316.9286724861362,208.92867248613618,0.015476197961936014,0.6111111111111112
0.05,0.135,18,11,0,7,316.9286724861362,208.92867248613618,0.015476197961936014,0.6111111111111112
0.05,0.14,18,11,0,7,316.9286724861362,208.92867248613618,0.015476197961936014,0.6111111111111112
0.05,0.145,18,11,0,7,316.9286724861362,208.92867248613618,0.015476197961936014,0.6111111111111112
0.05,0.15,18,11,0,7,316.9286724861362,208.92867248613618,0.015476197961936014,0.6111111111111112
0.055,0.01,18,5,12,1,116.24997249016394,8.249972490163927,0.000611109073345476,0.2777777777777778
0.055,0.015,18,6,9,3,141.63740611979827,33.63740611979827,0.00249165971257765,0.3333333333333333
0.055,0.02,18,6,9,3,107.88740611979827,-0.11259388020172878,-8.34028742235028e-06,0.3333333333333333
0.055,0.025,18,7,7,4,146.07209873437768,38.072098734377676,0.0028201554618057538,0.3888888888888889
0.055,0.03,18,7,7,4,119.82209873437768,11.822098734377676,0.0008757110173613093,0.3888888888888889
0.055,0.035,18,7,7,4,93.57209873437765,-14.427901265622324,-0.0010687334270831352,0.3888888888888889
0.055,0.04,18,8,6,4,138.57209873437768,30.572098734377676,0.002264599906250198,0.4444444444444444
0.055,0.045,18,9,4,5,197.29712214222445,89.29712214222447,0.006614601640164776,0.5
0.055,0.05,18,9,4,5,182.29712214222445,74.29712214222447,0.005503490529053664,0.5
0.055,0.055,18,9,4,5,167.29712214222445,59.29712214222447,0.004392379417942553,0.5
